"nom";"image";"description"
"Baie Rangma";"https://www.pokemontrash.com/pokedex/images/items/kee-berry.png";"Tenue, cette Baie booste la Défense du Pokémon."
"Baie Jaboca";"https://www.pokemontrash.com/pokedex/images/items/jaboca-berry.png";"Tenue, cette Baie inflige des dégâts
à l’ennemi s’il utilise une attaque
physique qui atteint son but."
"Baie Éka";"https://www.pokemontrash.com/pokedex/images/items/maranga-berry.png";"Tenue, cette Baie booste la Défense Spéciale
du Pokémon."
"Baie Enigma";"https://www.pokemontrash.com/pokedex/images/items/enigma-berry.png";"Tenue, cette Baie restaure les PV
du Pokémon s’il subit une attaque
super efficace."
"Baie Abriko";"https://www.pokemontrash.com/pokedex/images/items/apicot-berry.png";"Tenue, cette Baie monte la Déf. Spé.
en cas de besoin."
"Baie Lansat";"https://www.pokemontrash.com/pokedex/images/items/lansat-berry.png";"Tenue, cette Baie monte le taux de
critiques en cas de besoin."
"Baie Micle";"https://www.pokemontrash.com/pokedex/images/items/micle-berry.png";"Tenue, cette Baie augmente une fois
la Précision d’une capacité en cas de
besoin."
"Baie Pitaye";"https://www.pokemontrash.com/pokedex/images/items/petaya-berry.png";"Tenue, cette Baie monte l’Atq. Spé.
en cas de besoin."
"Baie Sailak";"https://www.pokemontrash.com/pokedex/images/items/salac-berry.png";"Tenue, cette Baie monte la Vitesse
en cas de besoin."
"Baie Lichii";"https://www.pokemontrash.com/pokedex/images/items/liechi-berry.png";"Tenue, cette Baie monte l’Attaque
en cas de besoin."
"Baie Lingan";"https://www.pokemontrash.com/pokedex/images/items/ganlon-berry.png";"Tenue, cette Baie monte la Défense
en cas de besoin."
"Baie Chérim";"https://www.pokemontrash.com/pokedex/images/items/custap-berry.png";"Tenue, cette Baie permet d’attaquer
en premier une fois en cas de besoin."
"Baie Frista";"https://www.pokemontrash.com/pokedex/images/items/starf-berry.png";"Tenue, cette Baie monte beaucoup une
des stats en cas de besoin."
"Baie Wiki";"https://www.pokemontrash.com/pokedex/images/items/wiki-berry.png";"Tenue, cette Baie restaure des PV en
cas de besoin, mais rend confus si
le Pokémon n’aime pas son goût."
"Baie Mago";"https://www.pokemontrash.com/pokedex/images/items/mago-berry.png";"Tenue, cette Baie restaure des PV en
cas de besoin, mais rend confus si
le Pokémon n’aime pas son goût."
"Baie Gowav";"https://www.pokemontrash.com/pokedex/images/items/aguav-berry.png";"Tenue, cette Baie restaure des PV en
cas de besoin, mais rend confus si
le Pokémon n’aime pas son goût."
"Baie Figuy";"https://www.pokemontrash.com/pokedex/images/items/figy-berry.png";"Tenue, cette Baie restaure des PV en
cas de besoin, mais rend confus si
le Pokémon n’aime pas son goût."
"Baie Papaya";"https://www.pokemontrash.com/pokedex/images/items/iapapa-berry.png";"Tenue, cette Baie restaure des PV en
cas de besoin, mais rend confus si
le Pokémon n’aime pas son goût."
"Baie Zalis";"https://www.pokemontrash.com/pokedex/images/items/chilan-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie de type Normal."
"Baie Babiri";"https://www.pokemontrash.com/pokedex/images/items/babiri-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Acier."
"Baie Selro";"https://www.pokemontrash.com/pokedex/images/items/roseli-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Fée."
"Baie Ratam";"https://www.pokemontrash.com/pokedex/images/items/rindo-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Plante."
"Baie Pocpoc";"https://www.pokemontrash.com/pokedex/images/items/passho-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Eau."
"Baie Chocco";"https://www.pokemontrash.com/pokedex/images/items/occa-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Feu."
"Baie Parma";"https://www.pokemontrash.com/pokedex/images/items/wacan-berry.png";"Tenue, cette Baie affaiblit une
attaque ennemie super efficace
de type Électrik."
"Baie Nanone";"https://www.pokemontrash.com/pokedex/images/items/yache-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Glace."
"Baie Pomroz";"https://www.pokemontrash.com/pokedex/images/items/chople-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Combat."
"Baie Charti";"https://www.pokemontrash.com/pokedex/images/items/charti-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Roche."
"Baie Kébia";"https://www.pokemontrash.com/pokedex/images/items/kebia-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Poison."
"Baie Jouca";"https://www.pokemontrash.com/pokedex/images/items/shuca-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Sol."
"Baie Cobaba";"https://www.pokemontrash.com/pokedex/images/items/coba-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Vol."
"Baie Yapap";"https://www.pokemontrash.com/pokedex/images/items/payapa-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Psy."
"Baie Panga";"https://www.pokemontrash.com/pokedex/images/items/tanga-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Insecte."
"Baie Sédra";"https://www.pokemontrash.com/pokedex/images/items/kasib-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Spectre."
"Baie Fraigo";"https://www.pokemontrash.com/pokedex/images/items/haban-berry.png";"Tenue, cette Baie affaiblit une attaque
ennemie super efficace de type Dragon."
"Baie Lampou";"https://www.pokemontrash.com/pokedex/images/items/colbur-berry.png";"Tenue, cette Baie affaiblit une
attaque ennemie super efficace
de type Ténèbres."
"Améliorator";"https://www.pokemontrash.com/pokedex/images/items/up-grade.png";"Dispositif transparent rempli de
données diverses et variées.
Fabriqué par la Sylphe SARL."
"Écailledraco";"https://www.pokemontrash.com/pokedex/images/items/dragon-scale.png";"Une écaille épaisse et dure tenue
parfois par les Pokémon de type Dragon
quand ils sont attrapés."
"Protecteur";"https://www.pokemontrash.com/pokedex/images/items/protector.png";"Objet protecteur très dur et très
lourd, apprécié d’un certain Pokémon."
"Bel'Écaille";"https://www.pokemontrash.com/pokedex/images/items/prism-scale.png";"Une écaille étrange qui fait évoluer
certaines espèces de Pokémon.
Elle a une couleur arc-en-ciel."
"Pierre Ovale";"https://www.pokemontrash.com/pokedex/images/items/oval-stone.png";"Pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Elle a la forme d’un œuf."
"Pierre Éclat";"https://www.pokemontrash.com/pokedex/images/items/shiny-stone.png";"Pierre étrange qui fait évoluer
certaines espèces de Pokémon. Elle
brille d’une lumière aveuglante."
"Pierre Nuit";"https://www.pokemontrash.com/pokedex/images/items/dusk-stone.png";"Pierre étrange qui fait évoluer
certaines espèces de Pokémon. Elle
est sombre comme une nuit sans lune."
"Pierre Eau";"https://www.pokemontrash.com/pokedex/images/items/water-stone.png";"Une pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Elle est de couleur bleue."
"Électiriseur";"https://www.pokemontrash.com/pokedex/images/items/electirizer.png";"Une boîte remplie d’une énorme quantité
d’énergie électrique. Appréciée d’un
certain Pokémon."
"Pierre Aube";"https://www.pokemontrash.com/pokedex/images/items/dawn-stone.png";"Pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Elle brille comme un œil."
"Tissu Fauche";"https://www.pokemontrash.com/pokedex/images/items/reaper-cloth.png";"Un tissu imprégné d’une énergie
spirituelle horriblement puissante.
Apprécié d’un certain Pokémon."
"Pierre Lune";"https://www.pokemontrash.com/pokedex/images/items/moon-stone.png";"Une pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Elle est noire comme la nuit."
"Pierre Feu";"https://www.pokemontrash.com/pokedex/images/items/fire-stone.png";"Une pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Elle est jaune et orange."
"Pierrefoudre";"https://www.pokemontrash.com/pokedex/images/items/thunderstone.png";"Une pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Un éclair est dessiné dessus."
"Pierreplante";"https://www.pokemontrash.com/pokedex/images/items/leaf-stone.png";"Une pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Une feuille est dessinée dessus."
"CD Douteux";"https://www.pokemontrash.com/pokedex/images/items/dubious-disc.png";"Appareil transparent rempli de données
douteuses. Son fabricant n’est pas
connu."
"Magmariseur";"https://www.pokemontrash.com/pokedex/images/items/magmarizer.png";"Une boîte remplie d’une énorme quantité
d’énergie magmatique. Appréciée d’un
certain Pokémon."
"Pierresoleil";"https://www.pokemontrash.com/pokedex/images/items/sun-stone.png";"Une pierre étrange qui fait évoluer
certaines espèces de Pokémon.
Elle est rouge comme le soleil."
"Sachet Senteur";"https://www.pokemontrash.com/pokedex/images/items/sachet.png";"Un sachet d'herbes et d'épices, au parfum
trop marqué pour beaucoup, mais néanmoins
apprécié d'un certain Pokémon."
"Chantibonbon";"https://www.pokemontrash.com/pokedex/images/items/whipped-dream.png";"Une crème sucrée qui fond dans la bouche,
légère comme un nuage.
Elle est appréciée d'un certain Pokémon."
"Flûte Noire";"https://www.pokemontrash.com/pokedex/images/items/black-flute.png";"Jouet en forme de flûte en verre
noir. Les amateurs en donnent
un bon prix."
"Flûteblanche";"https://www.pokemontrash.com/pokedex/images/items/white-flute.png";"Jouet en forme de flûte en verre
blanc. Les amateurs en donnent
un bon prix."
"Superepousse";"https://www.pokemontrash.com/pokedex/images/items/super-repel.png";"Repousse les Pokémon sauvages
faibles pendant 200 pas."
"Max Repousse";"https://www.pokemontrash.com/pokedex/images/items/max-repel.png";"Repousse les Pokémon sauvages
faibles pendant 250 pas."
"Corde Sortie";"https://www.pokemontrash.com/pokedex/images/items/escape-rope.png";"Une corde longue et solide permettant
de sortir rapidement d’une grotte ou
d’un donjon."
"Repousse";"https://www.pokemontrash.com/pokedex/images/items/repel.png";"Repousse les Pokémon sauvages
faibles pendant 100 pas."
"Queue Skitty";"https://www.pokemontrash.com/pokedex/images/items/fluffy-tail.png";"Objet qui attire les Pokémon. Permet
de s’enfuir d’un combat contre un
Pokémon sauvage."
"Poképoupée";"https://www.pokemontrash.com/pokedex/images/items/poke-doll.png";"Poupée qui attire les Pokémon. Permet
de s’enfuir d’un combat contre un
Pokémon sauvage."
"Poképlumet";"https://www.pokemontrash.com/pokedex/images/items/poke-toy.png";"Objet qui attire les Pokémon. Permet
de s’enfuir d’un combat contre un
Pokémon sauvage."
"Croc Rasoir";"https://www.pokemontrash.com/pokedex/images/items/razor-fang.png";"Objet à tenir pouvant apeurer l’ennemi
quand le porteur lui inflige des dégâts."
"Évoluroc";"https://www.pokemontrash.com/pokedex/images/items/eviolite.png";"Un étrange concentré d’évolution qui
augmente la Défense et la Déf. Spé.
d’un Pokémon pouvant évoluer."
"Boule de Neige";"https://www.pokemontrash.com/pokedex/images/items/snowball.png";"Objet à usage unique. Tenue, elle augmente
l'Attaque du Pokémon lorsqu'il est touché par
une capacité de type Glace."
"Lunettes Filtre";"https://www.pokemontrash.com/pokedex/images/items/safety-goggles.png";"Protège le Pokémon contre les dégâts dus
à la météo et la plupart des capacités
utilisant de la poudre."
"Grif. Rasoir";"https://www.pokemontrash.com/pokedex/images/items/razor-claw.png";"Objet à tenir. Griffe crochue
et pointue augmentant le taux
de critiques."
"Grosseracine";"https://www.pokemontrash.com/pokedex/images/items/big-root.png";"Objet à tenir augmentant la puissance
des attaques volant des PV."
"Carapace Mue";"https://www.pokemontrash.com/pokedex/images/items/shed-shell.png";"Objet à tenir. Carapace dure qui permet
au porteur de se retirer même s’il est
affecté par une attaque immobilisante."
"Accro Griffe";"https://www.pokemontrash.com/pokedex/images/items/grip-claw.png";"Objet à tenir augmentant la durée des
attaques à tours multiples telles que
Ligotage et Étreinte."
"Roche Humide";"https://www.pokemontrash.com/pokedex/images/items/damp-rock.png";"Objet à tenir augmentant la durée
de la capacité Danse Pluie utilisée
par le porteur."
"Roche Chaude";"https://www.pokemontrash.com/pokedex/images/items/heat-rock.png";"Objet à tenir augmentant la durée
de la capacité Zénith utilisée par le
porteur."
"Roche Lisse";"https://www.pokemontrash.com/pokedex/images/items/smooth-rock.png";"Objet à tenir augmentant la durée de
la capacité Tempêtesable utilisée par
le porteur."
"Roche Glace";"https://www.pokemontrash.com/pokedex/images/items/icy-rock.png";"Objet à tenir augmentant la durée
de la capacité Grêle utilisée par le
porteur."
"Boue Noire";"https://www.pokemontrash.com/pokedex/images/items/black-sludge.png";"Objet à tenir restaurant peu à peu les
PV des Pokémon de type Poison. Inflige
des dégâts à tous les autres types."
"Lichen Lumineux";"https://www.pokemontrash.com/pokedex/images/items/luminous-moss.png";"Du lichen à usage unique. Tenu, il augmente
la Défense Spéciale lorsque le Pokémon subit
une attaque de type Eau."
"Veste de Combat";"https://www.pokemontrash.com/pokedex/images/items/assault-vest.png";"Une veste augmentant la Défense Spéciale,
mais empêchant d'utiliser des attaques de statut."
"Pierrallégée";"https://www.pokemontrash.com/pokedex/images/items/float-stone.png";"Une pierre très légère.
Elle réduit le poids du
Pokémon qui la tient."
"Casque Brut";"https://www.pokemontrash.com/pokedex/images/items/rocky-helmet.png";"Tenu, cet objet inflige des dégâts
à l’attaquant si ce dernier utilise une
attaque physique qui atteint son but."
"Ballon";"https://www.pokemontrash.com/pokedex/images/items/air-balloon.png";"Tenu par un Pokémon, cet objet lui
permet de flotter dans les airs.
Il éclate en cas d’attaque."
"Carton Rouge";"https://www.pokemontrash.com/pokedex/images/items/red-card.png";"Carte au pouvoir mystérieux.
Tenue, elle force un Pokémon touchant
le porteur à se retirer du combat."
"Pt de Mire";"https://www.pokemontrash.com/pokedex/images/items/ring-target.png";"Un Pokémon tenant cet objet devient
sensible aux capacités autrement
inefficaces en raison de son type."
"B. Étreinte";"https://www.pokemontrash.com/pokedex/images/items/binding-band.png";"Objet à tenir augmentant la puissance
des attaques immobilisantes telles
que Ligotage ou Étreinte."
"Bulbe";"https://www.pokemontrash.com/pokedex/images/items/absorb-bulb.png";"Bulbe jetable. Tenu, il augmente la
Défense Spéciale lorsque le Pokémon
subit une attaque de type Eau."
"Pile";"https://www.pokemontrash.com/pokedex/images/items/cell-battery.png";"Pile jetable. Tenue, elle augmente
l’Attaque lorsque le Pokémon subit
une attaque de type Électrik."
"Bouton Fuite";"https://www.pokemontrash.com/pokedex/images/items/eject-button.png";"Si le Pokémon qui le tient subit une
attaque, il s’enfuit pour être remplacé
par un autre membre de l’équipe."
"Offrisphère";"https://www.pokemontrash.com/pokedex/images/items/pass-orb.png";"Sphère mystérieuse contenant
l’Aura d’Unys et utilisable
avec l’Offri-Aura."
"Vulné-Assurance";"https://www.pokemontrash.com/pokedex/images/items/weakness-policy.png";"Augmente beaucoup l'Attaque et l'Attaque
Spéciale du Pokémon lorsqu'il reçoit un coup
d'un type auquel il est vulnérable."
"Nœud Destin";"https://www.pokemontrash.com/pokedex/images/items/destiny-knot.png";"Un long fil rouge vif à faire tenir à un
Pokémon. Si le porteur succombe à
l’attirance, l’ennemi aussi."
"Lumargile";"https://www.pokemontrash.com/pokedex/images/items/light-clay.png";"Objet à tenir augmentant la durée
de capacités barrières telles que
Mur Lumière et Protection."
"Bandeau";"https://www.pokemontrash.com/pokedex/images/items/focus-band.png";"Objet à tenir pouvant parfois empêcher
d’être mis K.O., ne laissant qu’un PV."
"Lentilscope";"https://www.pokemontrash.com/pokedex/images/items/scope-lens.png";"Objet à tenir. Lentille qui augmente le
taux de critiques du porteur."
"Restes";"https://www.pokemontrash.com/pokedex/images/items/leftovers.png";"Objet à tenir permettant de restaurer
les PV du porteur graduellement durant
le combat."
"Grelot Coque";"https://www.pokemontrash.com/pokedex/images/items/shell-bell.png";"Objet à tenir. Restaure un peu les PV
du porteur à chaque fois qu’il inflige
des dégâts."
"Orbe Vie";"https://www.pokemontrash.com/pokedex/images/items/life-orb.png";"Objet à tenir augmentant la puissance
des capacités, mais qui dépense des
PV à chaque coup."
"Ceinture Pro";"https://www.pokemontrash.com/pokedex/images/items/expert-belt.png";"Objet à tenir. Ceinture usée
augmentant légèrement la puissance
des capacités super efficaces."
"Encens Doux";"https://www.pokemontrash.com/pokedex/images/items/lax-incense.png";"Objet à tenir. Le parfum trompeur
de cet encens baisse la Précision de
l’ennemi."
"Loupe";"https://www.pokemontrash.com/pokedex/images/items/wide-lens.png";"Objet à tenir. Magnifique loupe
augmentant un peu la Précision
des capacités."
"Lunet. Sages";"https://www.pokemontrash.com/pokedex/images/items/wise-glasses.png";"Objet à tenir. Paire de lunettes
épaisses augmentant un peu la
puissance des attaques spéciales."
"Boule Fumée";"https://www.pokemontrash.com/pokedex/images/items/smoke-ball.png";"Objet à tenir. Permet au porteur de
s’enfuir à coup sûr face à un Pokémon
sauvage."
"Roche Royale";"https://www.pokemontrash.com/pokedex/images/items/king's-rock.png";"Objet à tenir. Peut apeurer l’ennemi
lorsque le porteur lui inflige des
dégâts."
"Poudreclaire";"https://www.pokemontrash.com/pokedex/images/items/brightpowder.png";"Objet à tenir qui intimide et baisse
la Précision de l’ennemi."
"Métronome";"https://www.pokemontrash.com/pokedex/images/items/metronome.png";"Objet à tenir boostant une capacité
utilisée à répétition. L’effet s’annule
si une autre capacité est utilisée."
"Lentil. Zoom";"https://www.pokemontrash.com/pokedex/images/items/zoom-lens.png";"Objet à tenir. Augmente la Précision
du porteur s’il attaque après l’ennemi."
"Ceint. Force";"https://www.pokemontrash.com/pokedex/images/items/focus-sash.png";"Objet à tenir permettant au porteur,
s’il a ses PV pleins, d’éviter un
potentiel K.O. en conservant un PV."
"Herbeblanche";"https://www.pokemontrash.com/pokedex/images/items/white-herb.png";"Objet à tenir qui restaure les stats
baissées. Ne peut être utilisé qu’une
fois."
"Vive Griffe";"https://www.pokemontrash.com/pokedex/images/items/quick-claw.png";"Objet à tenir. Griffe légère mais
tranchante qui permet parfois de
frapper le premier."
"Herbe Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-herb.png";"Objet à tenir et à usage unique. Permet
d’utiliser immédiatement une capacité
qui devrait se charger au premier tour."
"Herbe Mental";"https://www.pokemontrash.com/pokedex/images/items/mental-herb.png";"Objet à tenir qui annule l’attirance
d’un Pokémon. Ne peut être utilisé
qu’une fois."
"Band. Muscle";"https://www.pokemontrash.com/pokedex/images/items/muscle-band.png";"Objet à tenir. Bandeau augmentant
légèrement la puissance des attaques
physiques."
"Band. Choix";"https://www.pokemontrash.com/pokedex/images/items/choice-band.png";"Objet à tenir. Ce bandeau monte
l’Attaque, mais ne permet d’utiliser
qu’une seule capacité par combat."
"Lunet. Choix";"https://www.pokemontrash.com/pokedex/images/items/choice-specs.png";"Objet à tenir augmentant l’Attaque
Spéciale, mais ne permettant d’utiliser
qu’une seule capacité par combat."
"Mouch. Choix";"https://www.pokemontrash.com/pokedex/images/items/choice-scarf.png";"Objet à tenir augmentant la Vitesse,
mais ne permettant d’utiliser qu’une
seule capacité par combat."
"Poign. Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-bracer.png";"Objet à tenir augmentant l’Attaque
lors des montées de niveau, mais
réduisant la Vitesse pendant le combat."
"Ceint. Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-belt.png";"Objet à tenir augmentant la Défense
lors des montées de niveau, mais
réduisant la Vitesse pendant le combat."
"Lent. Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-lens.png";"Objet à tenir augmentant l’Attaque
Spéciale lors des montées de niveau mais
réduisant la Vitesse pendant le combat."
"Band. Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-band.png";"Objet à tenir augmentant la Défense
Spéciale lors des montées de niveau mais
réduisant la Vitesse pendant le combat."
"Chaîne Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-anklet.png";"Objet à tenir. Il augmente la Vitesse
lors des montées de niveau mais réduit
la Vitesse pendant le combat."
"Poids Pouv.";"https://www.pokemontrash.com/pokedex/images/items/power-weight.png";"Objet à tenir augmentant les PV lors
des montées de niveau, mais réduisant
la Vitesse pendant le combat."
"Brac. Macho";"https://www.pokemontrash.com/pokedex/images/items/macho-brace.png";"Objet à tenir. C’est un bracelet dur
et lourd qui rend le porteur plus fort,
mais baisse sa Vitesse."
"Balle Fer";"https://www.pokemontrash.com/pokedex/images/items/iron-ball.png";"Objet à tenir réduisant la Vitesse. Rend
les porteurs de type Vol et lévitant
sensibles aux capacités de type Sol."
"Orbe Flamme";"https://www.pokemontrash.com/pokedex/images/items/flame-orb.png";"Objet à tenir. Orbe bizarre brûlant
son porteur durant le combat."
"Orbe Toxique";"https://www.pokemontrash.com/pokedex/images/items/toxic-orb.png";"Objet à tenir. Orbe bizarre
empoisonnant gravement son
porteur durant le combat."
"Piquants";"https://www.pokemontrash.com/pokedex/images/items/sticky-barb.png";"Objet à tenir blessant le porteur à
chaque tour. Peut s’accrocher aux
ennemis qui attaquent le porteur."
"Encens Plein";"https://www.pokemontrash.com/pokedex/images/items/full-incense.png";"Objet à tenir. Encens au parfum
exotique gonflant son porteur et
le faisant se déplacer lentement."
"Ralentiqueue";"https://www.pokemontrash.com/pokedex/images/items/lagging-tail.png";"Objet à tenir extrêmement lourd qui
ralentit le porteur."
"Œuf Chance";"https://www.pokemontrash.com/pokedex/images/items/lucky-egg.png";"Objet à tenir. Œuf rempli de joie qui
augmente le nombre de points Exp.
gagnés au combat."
"Pierre Stase";"https://www.pokemontrash.com/pokedex/images/items/everstone.png";"Objet à tenir. Pierre merveilleuse
empêchant l’évolution."
"Rune Purif.";"https://www.pokemontrash.com/pokedex/images/items/cleanse-tag.png";"Objet à tenir. Aide à repousser les
Pokémon sauvages si le porteur est
le premier Pokémon de l’équipe."
"Grelot Zen";"https://www.pokemontrash.com/pokedex/images/items/soothe-bell.png";"Objet à tenir. Grelot dont le carillon
calme le porteur et favorise l’amitié."
"Multi Exp";"https://www.pokemontrash.com/pokedex/images/items/exp.-share.png";"Objet à tenir. Le porteur reçoit une
partie des points Exp. du combat sans
avoir à combattre."
"Encens Veine";"https://www.pokemontrash.com/pokedex/images/items/luck-incense.png";"Objet à tenir. Double l’argent gagné
si le porteur se joint au combat."
"Encens Pur";"https://www.pokemontrash.com/pokedex/images/items/pure-incense.png";"Objet à tenir. Aide à repousser les
Pokémon sauvages si le porteur est
le premier Pokémon de l’équipe."
"Pièce Rune";"https://www.pokemontrash.com/pokedex/images/items/amulet-coin.png";"Objet à tenir. Double l’argent gagné
si le porteur se joint au combat."
"Plaque Pixie";"https://www.pokemontrash.com/pokedex/images/items/pixie-plate.png";"Objet à tenir. Une tablette en pierre
augmentant la puissance des capacités
de type Fée."
"Plaque Roc";"https://www.pokemontrash.com/pokedex/images/items/stone-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Roche."
"Plaquinsect";"https://www.pokemontrash.com/pokedex/images/items/insect-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Insecte."
"Plaquesprit";"https://www.pokemontrash.com/pokedex/images/items/mind-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Psy."
"Plaque Ciel";"https://www.pokemontrash.com/pokedex/images/items/sky-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Vol."
"Plaque Volt";"https://www.pokemontrash.com/pokedex/images/items/zap-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Électrik."
"Plaque Herbe";"https://www.pokemontrash.com/pokedex/images/items/meadow-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Plante."
"Plaque Glace";"https://www.pokemontrash.com/pokedex/images/items/icicle-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Glace."
"Plaque Terre";"https://www.pokemontrash.com/pokedex/images/items/earth-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Sol."
